,track,artist,duration (ms),popularity,uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature,labels
111,Courage,Ian Wong,162083,34,spotify:track:0gj8zftpww3PXx8xea7Ygn,0.635,0.0302,1,-26.234,0.0401,0.994,0.952,0.107,0.237,83.22200000000002,1,3
112,Crash,Chris Malinchak,232981,57,spotify:track:1FXlhqcYaiw6KuUYtXdtAi,0.6890000000000001,0.456,2,-12.307,0.0339,0.000455,0.882,0.07,0.238,126.0,4,1
113,Crawling In The Dark,Hoobastank,175026,0,spotify:track:1eK4KsyjAzr2xJ86Tj5SWa,0.5920000000000001,0.932,6,-4.4910000000000005,0.0885,0.000295,7.59e-05,0.138,0.698,93.675,4,2
114,Crazy,Gnarls Barkley,177466,77,spotify:track:1vxw6aYJls2oq3gW0DujAo,0.855,0.5870000000000001,8,-4.589,0.0336,0.0505,0.00714,0.105,0.64,111.97,4,1
115,Crazy Horses,The Osmonds,153173,46,spotify:track:6LqbJXriVJyqJCd9jYoPqP,0.512,0.977,2,-4.505,0.0671,0.215,0.0,0.343,0.731,120.165,4,1
116,Creep,Radiohead,238640,0,spotify:track:1ytTeSRAU6IRo2itVDwtPv,0.515,0.43,7,-9.935,0.0369,0.0102,0.0001409999999999,0.129,0.104,91.841,4,0
117,Crossing,The Tides,153103,40,spotify:track:08Q4GyxnB8ak1ZwHnjwova,0.542,0.189,0,-16.57,0.0398,0.935,0.91,0.0932,0.0755,116.0,4,3
118,Crystal Baller - 2006 Remaster,Third Eye Blind,255760,31,spotify:track:0uESMJnrEKYnZoRbNTvmpB,0.379,0.695,0,-5.9220000000000015,0.0705,0.0142,1.13e-05,0.196,0.4320000000000001,193.672,4,2
119,Crystal Shores,Dean Valio,170958,51,spotify:track:0gUAGl4nHShy1dzHikQKKU,0.482,0.0257,9,-26.303,0.0323,0.958,0.923,0.104,0.144,109.98,4,3
120,Curiosity,Beau Projet,155820,60,spotify:track:3WEdWvAScE1EcBfErseQnC,0.43,0.256,2,-22.088,0.0641,0.985,0.867,0.106,0.173,133.955,4,3
121,Curious Morning,Michael Orvind,182222,36,spotify:track:5lZyYNi8OfFWKiX1p9zDQP,0.391,0.231,3,-17.0,0.0363,0.969,0.954,0.116,0.0882,107.981,4,3
